,left,top,width,height
patient,72,80,150,15
date of birth,86,95,65,15
gender,73,105,65,15
patient ID,80,110,60,15
eye,70,160,25,20
date,495,185,75,15
Test,410,160,160,20
False POS Errors,145,220,30,15
False NEG Errors,145,230,30,15
VFI%,450,540,30,15
MD,450,555,40,15
PSD,450,570,35,15
O1_1,185,270,15,15
O1_2,200,270,15,15
O1_3,220,270,15,15
O1_4,240,270,15,15
O2_1,167,290,15,15
O2_2,185,290,15,15
O2_3,200,290,15,15
O2_4,220,290,15,15
O2_5,240,290,15,15
O2_6,255,290,15,15
O3_1,150,305,15,15
O3_2,167,305,15,15
O3_3,185,305,15,15
O3_4,200,305,15,15
O3_5,220,305,15,15
O3_6,240,305,15,15
O3_7,255,305,15,15
O3_8,273,305,15,15
O4_1,132,325,15,15
O4_2,150,325,15,15
O4_3,167,325,15,15
O4_4,185,325,15,15
O4_5,200,325,15,15
O4_6,220,325,15,15
O4_7,240,325,15,15
O4_8,255,325,15,15
O4_9,273,325,15,15
O4_10,290,325,15,15
O5_1,132,340,15,15
O5_2,150,340,15,15
O5_3,167,340,15,15
O5_4,185,340,15,15
O5_5,200,340,15,15
O5_6,220,340,15,15
O5_7,240,340,15,15
O5_8,255,340,15,15
O5_9,273,340,15,15
O5_10,290,340,15,15
O6_1,132,360,15,15
O6_2,150,360,15,15
O6_3,167,360,15,15
O6_4,185,360,15,15
O6_5,200,360,15,15
O6_6,220,360,15,15
O6_7,240,360,15,15
O6_8,255,360,15,15
O6_9,273,360,15,15
O6_10,290,360,15,15
O7_1,132,377,15,15
O7_2,150,377,15,15
O7_3,167,377,15,15
O7_4,185,377,15,15
O7_5,200,377,15,15
O7_6,220,377,15,15
O7_7,240,377,15,15
O7_8,255,377,15,15
O7_9,273,377,15,15
O7_10,290,377,15,15
O8_1,150,395,15,15
O8_2,167,395,15,15
O8_3,185,395,15,15
O8_4,200,395,15,15
O8_5,220,395,15,15
O8_6,240,395,15,15
O8_7,255,395,15,15
O8_8,273,395,15,15
O9_1,167,412,15,15
O9_2,185,412,15,15
O9_3,200,412,15,15
O9_4,220,412,15,15
O9_5,240,412,15,15
O9_6,255,412,15,15
O10_1,185,430,15,15
O10_2,200,430,15,15
O10_3,220,430,15,15
O10_4,240,430,15,15
T1_1,101,440,15,10
T1_2,113,440,15,10
T1_3,125,440,15,10
T1_4,138,440,15,10
T2_1,90,450,15,10
T2_2,101,450,15,10
T2_3,113,450,15,10
T2_4,125,450,15,10
T2_5,138,450,15,10
T2_6,150,450,15,10
T3_1,78,463,15,10
T3_2,90,463,15,10
T3_3,101,463,15,10
T3_4,113,463,15,10
T3_5,125,463,15,10
T3_6,138,463,15,10
T3_7,150,463,15,10
T3_8,161,463,15,10
T4_1,67,475,15,10
T4_2,78,475,15,10
T4_3,90,475,15,10
T4_4,101,475,15,10
T4_5,113,475,15,10
T4_6,125,475,15,10
T4_7,138,475,15,10
T4_8,150,475,15,10
T4_9,161,475,15,10
T4_10,173,475,15,10
T5_1,67,485,15,10
T5_2,78,485,15,10
T5_3,90,485,15,10
T5_4,101,485,15,10
T5_5,113,485,15,10
T5_6,125,485,15,10
T5_7,138,485,15,10
T5_8,150,485,15,10
T5_9,161,485,15,10
T5_10,173,485,15,10
T6_1,67,498,15,10
T6_2,78,498,15,10
T6_3,90,498,15,10
T6_4,101,498,15,10
T6_5,113,498,15,10
T6_6,125,498,15,10
T6_7,138,498,15,10
T6_8,150,498,15,10
T6_9,161,498,15,10
T6_10,173,498,15,10
T7_1,67,510,15,10
T7_2,78,510,15,10
T7_3,90,510,15,10
T7_4,101,510,15,10
T7_5,113,510,15,10
T7_6,125,510,15,10
