,left,top,width,height
name and birthday,50,130,200,50
Eye and exam date time,50,175,200,20
Programs,120,700,130,4
Parameters,120,710,130,10
Catch trials,120,722,130,10
Refraction,120,733,130,10
Pupil,100,745,100,10
Questions repetitions,342,700,100,10
Duration,342,712,100,10
RF,342,722,100,10
VA,342,733,100,10
IOP,342,745,100,10
Diffuse defect,467,510,50,10
MS,507,710,50,10
MD,507,720,50,10
sLV,507,730,50,10
G_value_00,445,290,10,10
G_value_01,450,295,10,10
G_value_02,440,295,10,10
G_value_03,440,285,10,10
G_value_04,450,285,10,10
G_value_05,460,305,10,10
G_value_06,435,305,10,10
G_value_07,435,280,10,10
G_value_08,460,280,10,10
G_value_09,470,295,10,10
G_value_10,470,315,10,10
G_value_11,455,315,10,10
G_value_12,440,315,10,10
G_value_13,425,315,10,10
G_value_14,425,295,10,10
G_value_15,425,285,10,10
G_value_16,425,270,10,10
G_value_17,440,270,10,10
G_value_18,450,270,10,10
G_value_19,470,270,10,10
G_value_20,470,285,10,10
G_value_21,485,305,10,10
G_value_22,480,325,10,10
G_value_23,460,330,10,10
G_value_24,435,330,10,10
G_value_25,415,325,10,10
G_value_26,410,305,10,10
G_value_27,410,280,10,10
G_value_28,415,260,10,10
G_value_29,435,255,10,10
G_value_30,460,255,10,10
G_value_31,480,260,10,10
G_value_32,485,280,10,10
G_value_33,505,305,10,10
G_value_34,500,325,10,10
G_value_35,500,345,10,10
G_value_36,480,345,10,10
G_value_37,460,345,10,10
G_value_38,435,345,10,10
G_value_39,415,345,10,10
G_value_40,395,345,10,10
G_value_41,395,325,10,10
G_value_42,390,305,10,10
G_value_43,390,280,10,10
G_value_44,395,260,10,10
G_value_45,395,240,10,10
G_value_46,415,240,10,10
G_value_47,435,240,10,10
G_value_48,460,240,10,10
G_value_49,480,240,10,10
G_value_50,500,240,10,10
G_value_51,500,260,10,10
G_value_52,505,280,10,10
G_value_53,515,315,10,10
G_value_54,470,360,10,10
G_value_55,425,360,10,10
G_value_56,375,305,10,10
G_value_57,375,280,10,10
G_value_58,425,220,10,10
G_value_59,470,220,10,10
G_value_60,515,270,10,10
