,left,top,width,height
name and birthday,50,130,200,50
Eye and exam date time,50,175,200,30
Programs,120,700,130,4
Parameters,120,710,130,10
Catch trials,120,722,130,10
Refraction,120,733,130,10
Pupil,100,745,100,10
Questions repetitions,376,700,80,10
Duration,376,712,80,10
RF,376,722,80,10
VA,376,733,80,10
IOP,376,745,80,10
Diffuse defect,467,510,0,0
MS,507,710,0,0
MD,507,720,0,0
sLV,507,730,0,0
LVC_value_0,230,250,20,20
LVC_value_1,275,250,20,20
LVC_value_2,320,250,20,20
LVC_value_3,365,250,20,20
LVC_value_4,185,295,20,20
LVC_value_5,230,295,20,20
LVC_value_6,275,295,20,20
LVC_value_7,320,295,20,20
LVC_value_8,365,295,20,20
LVC_value_9,410,295,20,20
LVC_value_10,140,340,20,20
LVC_value_11,185,340,20,20
LVC_value_12,230,340,20,20
LVC_value_13,275,340,20,20
LVC_value_14,320,340,20,20
LVC_value_15,365,340,20,20
LVC_value_16,410,340,20,20
LVC_value_17,455,340,20,20
LVC_value_18,95,385,20,20
LVC_value_19,140,385,20,20
LVC_value_20,185,385,20,20
LVC_value_21,230,385,20,20
LVC_value_22,275,385,20,20
LVC_value_23,320,385,20,20
LVC_value_24,365,385,20,20
LVC_value_25,410,385,20,20
LVC_value_26,455,385,20,20
LVC_value_27,500,385,20,20
LVC_value_28,95,430,20,20
LVC_value_29,140,430,20,20
LVC_value_30,185,430,20,20
LVC_value_31,230,430,20,20
LVC_value_32,275,430,20,20
LVC_value_33,320,430,20,20
LVC_value_34,365,430,20,20
LVC_value_35,410,430,20,20
LVC_value_36,455,430,20,20
LVC_value_37,500,430,20,20
LVC_value_38,295,450,20,20
LVC_value_39,95,475,20,20
LVC_value_40,140,475,20,20
LVC_value_41,185,475,20,20
LVC_value_42,230,475,20,20
LVC_value_43,275,475,20,20
LVC_value_44,320,475,20,20
LVC_value_45,365,475,20,20
LVC_value_46,410,475,20,20
LVC_value_47,455,475,20,20
LVC_value_48,500,475,20,20
LVC_value_49,95,520,20,20
LVC_value_50,140,520,20,20
LVC_value_51,185,520,20,20
LVC_value_52,230,520,20,20
LVC_value_53,275,520,20,20
LVC_value_54,320,520,20,20
LVC_value_55,365,520,20,20
LVC_value_56,410,520,20,20
LVC_value_57,455,520,20,20
LVC_value_58,500,520,20,20
LVC_value_59,140,565,20,20
LVC_value_60,185,565,20,20
LVC_value_61,230,565,20,20
LVC_value_62,275,565,20,20
LVC_value_63,320,565,20,20
LVC_value_64,365,565,20,20
LVC_value_65,410,565,20,20
LVC_value_66,455,565,20,20
LVC_value_67,185,610,20,20
LVC_value_68,230,610,20,20
LVC_value_69,275,610,20,20
LVC_value_70,320,610,20,20
LVC_value_71,365,610,20,20
LVC_value_72,410,610,20,20
LVC_value_73,230,655,20,20
LVC_value_74,275,655,20,20
LVC_value_75,320,655,20,20
LVC_value_76,365,655,20,20
