,X,Y
0,445,290
1,450,295
2,440,295
3,445,285
4,450,285
5,460,305
6,435,305
7,435,280
8,460,280
9,470,295
10,470,315
11,455,315
12,440,315
13,425,315
14,425,295
15,425,285
16,425,270
17,440,270
18,450,270
19,470,270
20,470,285
21,480,325
22,460,330
23,435,330
24,415,325
25,410,305
26,410,280
27,415,260
28,435,255
29,460,255
30,480,260
31,505,305
32,500,325
33,500,345
34,480,345
35,460,345
36,435,345
37,415,345
38,395,345
39,395,325
40,395,305
41,395,280
42,395,260
43,395,240
44,415,240
45,435,240
46,460,240
47,480,240
48,500,240
49,500,260
50,505,280
51,515,315
52,470,360
53,425,360
54,375,305
55,375,280
56,425,220
57,470,220
58,515,270
