,X,Y
0,445,290
1,450,295
2,440,295
3,440,285
4,455,285
5,460,305
6,435,305
7,435,280
8,460,280
9,470,295
10,470,315
11,455,315
12,440,315
13,425,315
14,425,295
15,425,285
16,425,270
17,440,270
18,455,270
19,470,270
20,470,285
21,485,305
22,480,325
23,460,330
24,435,330
25,415,325
26,460,255
27,480,260
28,485,280
29,500,305
30,500,325
31,500,345
32,480,345
33,460,345
34,435,345
35,415,345
36,395,345
37,395,325
38,390,305
39,390,280
40,395,260
41,460,240
42,480,240
43,505,240
44,505,260
45,500,280
46,515,305
47,470,360
48,425,360
49,375,315
50,375,270
51,470,220
52,515,280
